item.name,item.id,item.username,"item.public_metrics[""followers_count""]","item.public_metrics[""following_count""]","item.public_metrics[""tweet_count""]","item.public_metrics[""listed_count""]"
Chris Johnston,18217574,reporterchris,194866,3725,47999,3832
Post Business,16909907,washpostbiz,11164,352,65636,563
Yahoo News,7309052,YahooNews,1093721,2337,249694,13621
Gareth Soloway,259354209,GarethSoloway,63007,17,16029,622
Timothy Allen,335855306,MrTimothyAllen,7811,615,1282,153
Milena Mayorga,255507031,MilenaMayorga,330556,2468,24054,250
Benjamin Allbright,183636302,AllbrightNFL,123459,1692,116466,2207
Jerry Gamblin,12960392,JGamblin,14859,870,65667,455
TNW,10876852,thenextweb,1670896,326,223240,30957
Bloomberg Technology,21272440,technology,426065,244,72146,7102
SF Examiner,34700777,sfexaminer,70624,556,94204,1686
Hard Fork | by TNW,956838137015275520,HardFork,2379,207,3643,84
Frank Chaparro,2933805082,fintechfrank,124033,1632,44950,2187
Bitcoin Magazine,361289499,BitcoinMagazine,2042007,679,20264,12389
New Scientist,19658826,newscientist,4074500,248,91552,33856
Natalie ₿runell,543483223,natbrunell,155807,3660,12426,956
Jessica Vaugn,50595242,JessicaVaugn,330127,3820,54694,907
Bradley Leimer,24738621,leimer,59446,32993,165716,2471
Crypto Daily™,910120075637686272,cryptodailyuk,67646,1601,16506,168
Puck,1402444870464200704,PuckNews,9120,649,1075,132
Shakepay — Buy Bitcoin 🇨🇦,3460030275,shakepay,20754,309,6550,165
Peter McLasso ☠️,893818632089763840,PeterMcCormack,455295,2767,46303,4505
Banxa,1152095832830701568,BanxaOfficial,5395,285,1383,41
David Swan,8202402,swan_legend,7711,2085,9044,221
Bitcoin News,3367334171,BTCTN,2312348,921,24849,10327
Akeem Hunt,167219459,Mr_A1Hunt,11677,777,59787,92
Alex McShane,1249174530930638848,mcshane_writes,10345,689,97,92
David Lin,938191893669691393,davidlin_TV,16703,591,1176,93
Ameer Rosic,449839063,AmeerRosic,26159,4640,52019,2600
Judith Enck,3011349201,enckj,7211,1438,47879,102
MIKΞ⊕ΞLGAN,7426632,MikeElgan,42558,21025,27889,2465
Cobie,2259434528,cobie,620414,572,54416,9327
David Iwanow 😷 💉💉💉,18958504,davidiwanow,9475,176,165568,1303
Bram Cohen🌱,17201709,bramcohen,87886,572,12199,1828
Bitcoin Magazine,361289499,BitcoinMagazine,2042006,679,20264,12389
Jamie Redman,2897392085,jamieCrypto,10759,1818,8883,430
Miami Herald,14085040,MiamiHerald,499296,1007,271349,6944
CoinDesk,1333467482,CoinDesk,2643044,1466,88471,19236
The Block,963767159536209921,TheBlock__,219788,39,16959,3356
Jeff Elder,14478614,JeffElder,85871,14009,26371,1157
The Guardian Nigeria,57320024,GuardianNigeria,2233775,468,256844,1953
Observer,15738599,observer,186097,58731,94380,4754
Casa,789180648472797188,CasaHODL,39402,258,6398,809
ZDNet,3819701,ZDNet,464907,205,334487,12031
Alex Jiménez,562967099,RAlexJimenez,16016,989,133016,2048
TheStreet,15281391,TheStreet,822147,1241,220405,7312
MrHumanity,1046250140313505792,MrHumanityGives,98191,128,44799,60
Lucas Matney,357786278,lucasmtny,13954,992,647,442
أ. د. محمد المسعري,265597285,almass3ari,200740,718,70347,584
Lolli 🍭,971046392872521730,trylolli,65132,1245,19623,515
Choice 🧟‍♀️,109077522,choicebyKT,21841,1513,8429,229
Maveron,31519862,Maveron,8808,477,4532,342
Eric Newcomer,36232059,EricNewcomer,25841,3028,5255,881
Jessica Vaugn,50595242,JessicaVaugn,330127,3820,54694,907
Michael Salter,820980650,mike_salter,15424,3128,5789,176
Businessweek,67358777,BW,1964833,609,148435,20035
Derek Ross 🌋⚡,9768732,derekmross,7131,3449,43845,206
Alex Gladstein 🌋 ⚡,19721574,gladstein,159098,2704,76435,2001
Namcios,1273776346771132417,namcios,3568,583,1497,57
MAJESTIC,43070676,MajesticDrama,89694,1037,20744,300
Chris Dunn,14923571,ChrisDunnTV,56056,169,13002,1107
CRYPTO₿IRB,897446848004227072,crypto_birb,642358,3840,53139,6673
jamesss.eth,61654707,jvhak,17873,891,432,69
Jordan Weissmann,47526275,JHWeissmann,42342,3439,4060,1011
Lauren Razavi,29206330,LaurenRazavi,12602,543,1880,376
Leigh Drogen,19079480,LDrogen,14949,748,1183,863
CoinMarketCap,2260491445,CoinMarketCap,4730863,1826,16369,14301
Wells Dunbar🤦🏻,19670666,WellsDunbar,6224,2309,20885,274
Michael McSweeney,1978895581,mpmcsweeney,4106,3336,24145,143
Mayne,2446024556,Tradermayne,275580,1523,29795,4531
Sven Henrich,714051110,NorthmanTrader,346842,67,30035,6005
Kitco NEWS,138513820,KitcoNewsNOW,101060,1862,64463,1316
Ran NeuNer,58487473,cryptomanran,574367,2694,12068,4436
Josh Mandel,35664186,JoshMandelOhio,67485,5180,2585,859
Lark Davis,30325257,TheCryptoLark,863451,448,39045,5309
Visible,900769687612424193,Visible,25330,185,18167,70
Anmol Singh,2335651058,DeltaNinety,38233,29,16504,388
Pomp 🌪,339061487,APompliano,1482438,6475,62381,14218
Bitwage,2368346192,Bitwage,15291,2392,3281,321
Patrick Bet-David,45167431,patrickbetdavid,185464,383,40117,1267
𝕁𝕠𝕤𝕙 𝕊𝕫𝕖𝕡𝕤,38528124,joshzepps,43628,2294,19045,482
Jacquelyn Melinek,1044207764212518912,jacqmelinek,4791,757,1510,54
Hong Fang (Okcoin),715730907362115588,hfangca,10917,471,3055,208
50/50innertainment,126979461,5050RecordLabel,78809,47117,15876,312
ΞLLΛRS,16669896,Ellars,21426,15655,23366,91
The Floor,978732571738755072,TheMoonCarl,968299,582,12546,3500
🥷 Gokhshtein Media,1061044193269833728,gokhshteinmedia,63874,354,11214,145
The Wolf Of All Streets,17351167,scottmelker,787227,1092,101617,7648
Shibetoshi Nakamoto,30699048,BillyM2k,1068580,420,27876,1615
"Michael A. Gayed, CFA",227755413,leadlagreport,581214,1,36175,2325
Jonathan Mann,8632762,songadaymann,25403,2038,49289,507
U.S. News Investing,204916935,USNewsInvesting,14204,222,33534,476
Dan Held,1598709350,danheld,530292,1000,62762,5141
Dan Held,1598709350,danheld,530292,1000,62762,5141
David Gokhshtein,170049408,davidgokhshtein,594364,717,83075,2225
Ashlee Vance,81961201,ashleevance,71355,2796,1735,1347
Bitcoin News,3367334171,BTCTN,2312348,921,24849,10327
JRNY Crypto 🧪,952087880918228992,JRNYcrypto,773463,557,14303,3712
Alex Gladstein 🌋 ⚡,19721574,gladstein,159098,2704,76435,2001
Dr. Robin Kiera,243568454,stratorob,36405,12914,62660,715
CoinDesk,1333467482,CoinDesk,2643044,1466,88471,19236
NextAdvisor,14061063,NextAdvisor,15106,4295,4366,213
Brandon Edler,26411689,MrBrando3,8424,1697,70006,140
MarketWatch,624413,MarketWatch,4195208,207,361290,29309
Kraken Exchange,1399148563,krakenfx,1293296,120,6378,7426
Eric Brakey,926810064,SenatorBrakey,23654,1075,18981,164
Watcher.Guru,1387497871751196672,WatcherGuru,575224,20,4401,961
Manny Alicandro,992623688028774400,Manny_Alicandro,16692,13789,1093,41
Derek Ross 🌋⚡,9768732,derekmross,7131,3449,43845,206
Ari Zoldan,16259973,AriZoldan,10650,11223,4259,0
Kitco NEWS,138513820,KitcoNewsNOW,101060,1862,64463,1316
Decrypt,993530753014054912,decryptmedia,93405,1570,27743,1766
Nicholas Merten,892429154121068544,Nicholas_Merten,108560,862,1496,1228
Natalie ₿runell,543483223,natbrunell,155807,3660,12426,956
Leigh Drogen,19079480,LDrogen,14949,748,1183,863
Ohara Davies,2151628147,OharaDavies,41982,540,11710,97
Bitcoin Magazine,361289499,BitcoinMagazine,2042007,679,20264,12389
Joe Colangelo,294682376,Itsjoeco,8291,961,23301,293
Mariam Amini,428517396,mariamamini,14389,198,2515,70
Thomas Kralow,1252509835154919424,TKralow,1593,122,315,7
Mohamed A. ₿asset,219719193,SymbianSyMoh,25169,796,73748,237
Bloomberg Wealth,1668256296,wealth,63379,1523,22606,736
zerobeta,14935367,zerobeta,10945,3054,35382,402
Kelsey Hightower,159822053,kelseyhightower,156728,33,22253,2732
Paxful,2307190704,paxful,114809,197,26935,414
Barchart,28212513,Barchart,19793,2609,22809,476
Crypto Daily™,910120075637686272,cryptodailyuk,67646,1601,16506,168
Forbes Crypto,902282851499917312,ForbesCrypto,452130,361,12852,5865
The Floor,978732571738755072,TheMoonCarl,968299,582,12546,3500
Washington Capitals,14801539,Capitals,797344,132,105922,6125
Laura Shin,26377478,laurashin,189154,2220,16491,4948
Andreas,1469101279,aantonop,696990,0,30907,10556
Choice 🧟‍♀️,109077522,choicebyKT,21841,1513,8429,229
CoinMarketCap,2260491445,CoinMarketCap,4730863,1826,16369,14301
Karyn Miller-Medzon,26760975,KBMM,995,474,4104,0
Joshua Holland,22063600,JoshuaHol,34599,1905,198759,789
Eddy Elfenbein,41516710,EddyElfenbein,72947,1741,76777,2108
Cecilia Rivera 🇸🇻,967194194,CeciliaGRM,16057,1160,15324,11
OttoMattic,362787242,OttoMatticBaby,113935,773,314956,102
Bloomberg Canada,2585696372,BloombergCA,35582,119,69235,526
Angela Magana,363860448,AngelaMagana1,34622,751,10945,229
Linette Lopez,19775788,lopezlinette,26675,2831,57579,756
Man Bartlett,1157891,man,15929,2815,26562,0
Cobie,2259434528,cobie,620414,572,54416,9327
Umar Ashraf,707591056599228417,umarashraf28,48217,226,5796,298
freddie stevenson,454617433,strugglemade105,15985,2990,12884,92
The Wolf Of All Streets,17351167,scottmelker,787227,1092,101617,7648
Bloomberg,34713362,business,7858684,1372,759908,64632
Francine McKenna,14289197,retheauditors,29550,28694,155520,1263
Nexo,919174740270637056,Nexo,179651,1337,3901,952
Bloomberg Australia,606571099,BloombergAU,15166,234,163057,492
TheStreet,15281391,TheStreet,822147,1241,220405,7312
rui da silva,7343782,ruidasilva,43451,219,38265,219
Peter McLasso ☠️,893818632089763840,PeterMcCormack,455295,2767,46303,4505
Nassim Nicholas Taleb,381289719,nntaleb,813392,1258,36394,10757
Hedgeye,18719020,Hedgeye,120628,1130,77888,2613
The Information,1881168794,theinformation,71500,474,18382,2084
Daniel Newman,228918333,danielnewmanUV,49919,8350,113614,4262
Elías López,81220455,elopezgross,17184,6461,536,425
Asia Financial,1238390514509996032,Asia_Financial,1886,24,6714,51
Myles Garrett,845649062690893824,Flash_Garrett,314273,279,2897,696
Bloomberg Asia,588261604,BloombergAsia,89539,561,263842,1396
Jake Udell | Founder of Metalink 👾⚡️,168640215,jakeudell,34749,3858,6583,384
muneeb.btc,14110443,muneeb,81280,509,11589,2193
OpenNode ⚡️,966878336034136065,OpenNode,15969,459,2420,335
Don Huffines,1963156225,DonHuffines,37251,340,2367,270
Stears Business,2857405981,StearsBusiness,76790,72,84097,357
Mitch Kosterman,367818064,MitchKosterman,12548,10644,150403,138
Choice 🧟‍♀️,109077522,choicebyKT,21841,1513,8429,229
DETERMINISTIC OPTIMISM,10446482,nvk,80266,954,82901,1332
TheStreet,15281391,TheStreet,822147,1241,220405,7312
Natalie ₿runell,543483223,natbrunell,155807,3660,12426,956
John George,948634452443516935,TheEsportsPlug,4248,730,14067,55
Bruno Maçães,1480749782,MacaesBruno,81098,1561,55146,1036
Jason Nelson,739164545306918912,dragonwolftech,4293,4952,22533,66
Cash App Support,751858337377980416,CashSupport,83147,1,151025,103
CoinDesk,1333467482,CoinDesk,2643044,1466,88471,19236
Spiral,1105660673445380097,spiralbtc,108053,1,882,1490
Recode,2244340904,Recode,376371,647,47027,11167
ZDNet,3819701,ZDNet,464907,205,334487,12031
Vox,2347049341,voxdotcom,1032513,149,141783,16635
NYT Business,1754641,nytimesbusiness,834317,462,241368,15340
Crypto Daily™,910120075637686272,cryptodailyuk,67646,1601,16506,168
New York Times Opinion,16686144,nytopinion,799108,1472,216295,8131
John Nosta,19711691,JohnNosta,68459,51832,132607,2866
ABC News,28785486,ABC,17066713,495,374414,64199
Dr. Robin Kiera,243568454,stratorob,36405,12914,62660,715
Alex Holmes,14485153,Trojan81,17419,744,4670,337
Monica Villamizar,48103953,monica_vv,11495,1618,10800,367
JV Rufino,2525132424,JVRufinoINQ,2793,2185,61522,105
Bitcoin Magazine,361289499,BitcoinMagazine,2042007,679,20264,12389
fonzy,445068987,fonzfranc,19965,985,354994,141
Buenos Aires Times,902617025629052935,theBAtimes,6026,740,21439,157
Alex Gladstein 🌋 ⚡,19721574,gladstein,159098,2704,76435,2001
Ledger Support,1161639845531455489,Ledger_Support,21861,4,23569,107
Aoyon Ashraf,2209487696,Aoyon_A,1167,476,355,40
Bitcoin News,3367334171,BTCTN,2312348,921,24849,10327
IDG Connect,14921529,idgconnect,9813,3239,17889,756
Trezor,1431204614,Trezor,164210,477,15388,1917
Alex Jiménez,562967099,RAlexJimenez,16016,989,133016,2048
Boing Boing,5971922,BoingBoing,225780,2201,1551,11682
Shehan,57997841,TheCryptoCPA,17315,100,10309,245
Americas Society/Council of the Americas,26060210,ASCOA,29125,3945,45714,706
Washington Square News,15731856,nyunews,11846,572,17784,0
Sammy Westfall,2302791036,sammy_westfall,2400,1599,667,18
Bloomberg Crypto,928759224599040001,crypto,818929,87,8352,11439
cutto,1455301757953720321,cuttocrypto,4399,13,336,5
The Floor,978732571738755072,TheMoonCarl,968299,582,12546,3500
"Matt ""Swish"" Suiche",14585689,msuiche,32379,1214,21880,1052
Hedgeye,18719020,Hedgeye,120628,1130,77888,2613
Ari Zoldan,16259973,AriZoldan,10650,11223,4259,0
Hollie McKay,15993160,holliesmckay,17936,5205,2045,161
IGSquawk,1533387092,IGSquawk,59610,687,41298,1700
Kraken Exchange,1399148563,krakenfx,1293296,120,6378,7426
Shelly Palmer,10498942,shellypalmer,41176,1572,64122,1146
Brandon,354570003,blgtylr,64966,6351,3560,495
Independent Voices,270569708,IndyVoices,72140,1975,83878,1103
Reno Omokri,264248576,renoomokri,1134006,23,65672,726
Real Time Economics,16334857,WSJecon,862371,98,93024,13488
Blinkist,794535782,blinkist,111108,10903,21648,1149
Rev. Eric Dunn,413213031,ericvdunn,115774,4496,81510,302
Blockchain.com,125304737,blockchain,1276985,23,12129,9185
David Fenton,14247309,dfenton,4851,2681,12605,148
#CryptoDJ,390652630,djsbu,1038964,12395,280006,2315
Kristin Stoller,40448722,KristinStoller,3379,767,5468,77
Market Rebellion,817007725666242561,MarketRebels,183911,267,38677,1775
Watcher.Guru,1387497871751196672,WatcherGuru,575224,20,4401,961
FORTUNE,25053299,FortuneMagazine,2293519,515,251864,23804
Bloomberg Asia,588261604,BloombergAsia,89539,561,263842,1396
Derek Ross 🌋⚡,9768732,derekmross,7131,3449,43845,206
News Talk 830 WCCO,21202724,wccoradio,22221,5680,117371,665
Justin Birnbaum,1967533320,JustBirny,1279,604,7216,36
Forbes,91478624,Forbes,17422580,5144,357798,61313
Judd Greenstein,110227934,juddgreenstein,55847,2514,44432,192
CNBC,20402945,CNBC,4484089,850,476208,37245
Benzinga,44060322,Benzinga,226892,1753,174511,4567
Poloniex Exchange,2288889440,Poloniex,445670,82,8428,3642
John Henry Smith,60204392,jhsthethird,1454,1245,14243,35
Do we WANT Tennessee to be Nashville’s team?!,90226197,anchorofgold,7568,882,42950,233
Amanda Iacone,154934260,Aiacone,929,877,2189,27
NYTimes Tech,14434070,nytimestech,287218,163,36638,10736
Visible,900769687612424193,Visible,25330,185,18167,70
Tom McKay,119756545,thetomzone,39209,5652,101879,449
Crypto Adventure,798107102732500992,CryptoAdventure,102640,3961,12689,211
スーパーデイブ,1232628913781846016,David_Jolly_DC,262,1119,1177,5
CoinMarketCap,2260491445,CoinMarketCap,4730863,1826,16369,14301
CoinDesk,1333467482,CoinDesk,2643044,1466,88471,19236
Bitcoin News,3367334171,BTCTN,2312348,921,24849,10327
Kim Zetter,48511236,KimZetter,82991,2746,35885,2835
Samuel Oakford,427515851,samueloakford,19338,4584,12508,688
Paxful,2307190704,paxful,114809,197,26935,414
Raphael Schön,173602716,raphschoen,8722,783,6668,96
BBC News (UK),612473,BBCNews,13181799,93,483071,47381
Ledger Support,1161639845531455489,Ledger_Support,21861,4,23569,107
Bitwage,2368346192,Bitwage,15291,2392,3281,321
Julian Liniger,922525702779387904,julian_liniger,2541,579,2704,26
Tyler Winklevoss,24222556,tyler,1018892,2654,11942,8082
John Squire 🇪🇦🇺🇸,155629354,JuanfraEscudero,376740,65461,155737,1929
Markets Insider,65448361,MktsInsider,69048,51,141822,2256
Atif Unaldi,14261040,atifunaldi,13193,862,41403,184
Kyle Hill (kaleazy.btc),253389790,kaleazy,10413,1019,14570,190
Matt Spoke,27545047,MattSpoke,8350,1213,3888,233
Vauld,982364348038303744,VauldOfficial,14904,6,2641,74
Business Today,161318053,business_today,1152332,384,156139,1916
Ryan Fletcher,47490141,LawsonRyan,126607,1861,15309,542
Lyn Alden,823766058909761536,LynAldenContact,348852,285,10125,6104
Church Socks,94844786,KarlousM,691161,1529,222716,508
FT World News,312677640,ftworldnews,139062,59,65216,1250
TheAlternativeBoard,38682592,TAB_Boards,7379,2425,19807,594
John Nosta,19711691,JohnNosta,68459,51832,132607,2866
Pomp 🌪,339061487,APompliano,1482438,6475,62381,14218
David Gokhshtein,170049408,davidgokhshtein,594364,717,83075,2225
Trezor,1431204614,Trezor,164210,477,15388,1917
Alex McShane,1249174530930638848,mcshane_writes,10345,689,97,92
Faisal Khan,14054999,babushka99,12757,3398,68850,650
Josh Caplan,744070482832596992,joshdcaplan,105672,162,20804,584
Jay Gould,1414971,jaygould,65947,470,4285,311
Tiziano Breda,53904485,TizBreda,4743,2020,9891,46
Adam Singer,14031032,AdamSinger,75143,3525,263008,3057
Shane Hazel,123036487,ShaneTHazel,33797,2662,26538,112
The Wolf Of All Streets,17351167,scottmelker,787227,1092,101617,7648
Josh Elman,1979921,joshelman,114943,2696,11678,3555
DETERMINISTIC OPTIMISM,10446482,nvk,80266,954,82901,1332
Bloomberg,34713362,business,7858684,1372,759908,64632
Akeem Hunt,167219459,Mr_A1Hunt,11677,777,59787,92
dilip cherian,11695892,DILIPtheCHERIAN,55461,1004,44423,401
Latin America Center,2149428210,ACLatAm,11269,2087,17225,331
Joanna Peña-Bickley,1455431,jojobickley,33600,4995,33658,622
Watcher.Guru,1387497871751196672,WatcherGuru,575223,20,4401,961
George Gammon,246621297,GeorgeGammon,120456,70,8947,1163
Sarah Austin 🟩,17333183,sarahaustin,42729,9670,8458,1060
Joumanna Bercetche 🇱🇧,370807603,CNBCJou,27001,1934,19190,439
Lawrence McDonald,25163231,Convertbond,81887,13225,79645,2426
Laurent Lamothe,357533790,LaurentLamothe,270876,31801,18338,468
Mike Eppel,27618447,eppman,7466,538,4836,110
Vojtech Cekal,1483224457854468096,TrishWCCB,70,66,20,0
"Morningstar, Inc.",16726035,MorningstarInc,130593,639,36016,2236
Arab News Business,1359755162101952512,ArabNewsBiz,642,101,4226,8
"David Gorski, MD, PhD",85227160,gorskon,68718,1889,85757,1042
Geoffrey Miller 🔍,3656836876,primalpoly,113304,5433,47922,1365
Derek Ross 🌋⚡,9768732,derekmross,7131,3449,43845,206
Kenny Florian,26667184,kennyflorian,313654,919,41285,3688
Blockworks,989912836901089282,Blockworks_,158054,4848,13207,1477
Free Press Journal,295693924,fpjindia,29871,565,297415,453
Fiato Steelhands 💎🎹💎,18514879,DrewsThatDude,9299,967,53067,114
Bloomberg Technology,21272440,technology,426065,244,72146,7102
Adam Taylor,16288269,mradamtaylor,17227,7715,26734,505
Carla Gentry,119802433,data_nerd,55891,13239,349681,3732
CoinsKid,24671050,tomskiweb,116640,127,11045,617
Seán Ono Lennon,17427779,seanonolennon,341666,3506,26148,3235
John Lilic ₿ Ξ ∞ 💜 🍊 #ZKEVM,3362913279,JohnLilic,31384,7978,26866,769
Market Rebellion,817007725666242561,MarketRebels,183911,267,38677,1775
Gasant Abarder,1375155224,GasantAbarder,14747,1175,145570,97
Reno Omokri,264248576,renoomokri,1134006,23,65672,726
Washington Examiner,18956073,dcexaminer,290842,332,581653,4015
Michael Deibert,70776910,michaelcdeibert,15866,3343,116754,356
Daniel Couri,250761319,danielvcouri,12144,790,7610,154
BloombergQuint,714731566828793857,BloombergQuint,272999,131,279696,1980
Michael Saylor⚡️,244647486,saylor,2162219,552,2968,12750
Jim Wyss,25333106,jimwyss,5618,2738,6100,223
Independent Premium,1044844792126033925,indypremium,4053,1,50226,43
Cash App Support,751858337377980416,CashSupport,83147,1,151025,103
Reuters,1652541,Reuters,24214925,1199,808761,130757
Stickybuds,235733105,djSTICKYBUDS,6590,1188,5560,78
The Wolf Of All Streets,17351167,scottmelker,787227,1092,101617,7648
Beth Williams Liou,1163804689,BWilliLiou,4150,1449,17330,129
Bloomberg Technology,21272440,technology,426065,244,72146,7102
Watcher.Guru,1387497871751196672,WatcherGuru,575223,20,4401,961
Samsung Mobile US,14117843,SamsungMobileUS,4806722,18542,187508,8526
Namcios,1273776346771132417,namcios,3568,583,1497,57
Bitcoin Magazine,361289499,BitcoinMagazine,2042007,679,20264,12389
Crypto.com Customer Support,1265357157777752068,cryptocomcs,44224,33,39263,221
Steve Hanke,863527548,steve_hanke,397232,6802,39033,3031
Wong Joon Ian in KL 🇲🇾,4828981,joonian,23563,7903,93518,978
Angie Lau,289390002,AngieTVLau,17600,1177,12688,443
Ben Mezrich,17653553,benmezrich,57082,3722,20708,768
Coinbase Institutional,931273791782535168,CoinbaseInsto,94974,15,444,767
Julian Liniger,922525702779387904,julian_liniger,2541,579,2704,26
AMBCrypto,946431618444677120,CryptoAmb,38246,0,23073,327
Blockworks,989912836901089282,Blockworks_,158054,4848,13207,1477
Bitcoin News,3367334171,BTCTN,2312348,921,24849,10327
stacks.btc,3285797414,Stacks,107455,165,4894,1693
Joe Pompliano,1230676218770579456,JoePompliano,355262,1356,12546,1839
Nassim Nicholas Taleb,381289719,nntaleb,813392,1258,36394,10757
IndiaTodayTech,4891628773,IndiaTodayTech,42944,2,38007,212
bernieborges,9144332,bernieborges,33833,17018,36510,2197
Pomp 🌪,339061487,APompliano,1482438,6475,62381,14218
David Gokhshtein,170049408,davidgokhshtein,594364,717,83075,2225
BloombergQuint,714731566828793857,BloombergQuint,272999,131,279696,1980
Amanda Rivkin,197178640,amandarivkin,6008,5043,19180,231
Justin • Do Different,696823,JustinWise,28900,240,1325,950
The Telegraph,16343974,Telegraph,3146748,860,462830,20047
Yahoo Finance UK,21696535,YahooFinanceUK,15650,155,22039,374
meiraj haq,34051317,meirajhaq,3236,219,19987,8
Forbes,91478624,Forbes,17422579,5144,357798,61313
Forbes Crypto,902282851499917312,ForbesCrypto,452130,361,12852,5865
The Floor,978732571738755072,TheMoonCarl,968299,582,12546,3500
Preston Pysh,538399586,PrestonPysh,375757,860,24574,4967
Kitco NEWS,138513820,KitcoNewsNOW,101060,1862,64463,1316
Bloomberg Australia,606571099,BloombergAU,15166,234,163057,492
Plastician / Stish,25158023,Plastician,59651,3284,100631,693
Barbara Slavin,49702592,barbaraslavin1,33933,2644,79651,823
Euronews Next,420234784,euronewsnext,9504,117,5536,242
MIKΞ⊕ΞLGAN,7426632,MikeElgan,42558,21025,27889,2465
Asia Financial,1238390514509996032,Asia_Financial,1886,24,6714,51
Bloomberg Crypto,928759224599040001,crypto,818929,87,8352,11439
belo ⚡️,1263942652397051904,belo_app,13583,334,3396,68
ZDNet,3819701,ZDNet,464907,205,334487,12031
Barron's,20449296,barronsonline,213778,35,62997,4886
Intl. Business Times,78714922,IBTimes,121347,61,200966,1755
Bloomberg,34713362,business,7858684,1372,759908,64632
Thomas Kralow,1252509835154919424,TKralow,1593,122,315,7
Dominic Chu,37718217,TheDomino,63627,1589,51031,1180
ET Intl Business,36326146,ETIntlBusiness,34985,31,59629,436
Booking.com,26516576,bookingcom,177378,3984,98729,1409
DETERMINISTIC OPTIMISM,10446482,nvk,80266,954,82901,1332
Hedgeye,18719020,Hedgeye,120628,1130,77888,2613
Calvin Ayre,32318850,CalvinAyre,31784,296,73080,696
Moneycontrol,68927629,moneycontrolcom,1245319,345,342268,3247
IT Pro,713973,ITPro,25352,4027,53286,1745
Jay Gould,1414971,jaygould,65947,470,4285,311
Jamshed Wadia,13297112,JamshedWadia,20664,13354,24437,583
Kevin Lehane,61304680,KevinLehane,3701,979,7179,89
CoinDesk,1333467482,CoinDesk,2643044,1466,88471,19236
Ran NeuNer,58487473,cryptomanran,574367,2694,12068,4436
TheMalaysianReserve,293590755,TMReserve,8613,189,88285,142
TribLIVE.com,20269833,TribLIVE,91662,202,238971,1356
BBC News (World),742143,BBCWorld,34281302,18,341090,127699
Jules Polonetsky,8919762,JulesPolonetsky,20135,9141,17638,949
Alejandro Manrique,16872022,Alejo_Manrique,2230,1194,31160,78
Copper,977215039458430976,CopperHQ,8464,425,1122,60
🥷 Gokhshtein Media,1061044193269833728,gokhshteinmedia,63874,354,11214,145
Techmeme,817386,Techmeme,431017,950,158283,14840
Julián Yosovitch,400054955,julianyosovitch,43756,2771,79312,611
Jay Hao | OKX CEO,1072795518567239680,JayHao_OKX,100664,1097,5548,583
Anthony Faiola,1638698094,Anthony_Faiola,5531,641,702,240
Markets Insider,65448361,MktsInsider,69048,51,141822,2256
Steven Barrett,1258791420074303491,SBarrettBar,3295,2221,6813,17
Lark Davis,30325257,TheCryptoLark,863451,448,39045,5309
Rob Moore,485885933,robprogressive,15818,79,6133,203
Bloomberg Asia,588261604,BloombergAsia,89539,561,263842,1396
FORTUNE,25053299,FortuneMagazine,2293519,515,251864,23804
Bitpanda,2425772784,bitpanda,73687,334,6642,437
Sandy Hendry,2373356323,SandyHendry,3704,2814,17817,194
Yahoo Singapore,115624161,YahooSG,330700,502,199928,1244
Forbes Crypto,902282851499917312,ForbesCrypto,452130,361,12852,5865
Steven Barrett,1258791420074303491,SBarrettBar,3295,2221,6813,17
Dan Gillmor,6267962,dangillmor,46444,2206,4236,3349
Intl. Business Times,78714922,IBTimes,121347,61,200966,1755
Lawrence McDonald,25163231,Convertbond,81887,13225,79645,2426
Bloomberg Australia,606571099,BloombergAU,15166,234,163057,492
Crypto Jack,1415997802321256453,cryptojack,21471,333,573,69
FOX Business,56413858,FoxBusiness,807794,391,209768,7692
Poloniex Exchange,2288889440,Poloniex,445670,82,8428,3642
The Economist,5988062,TheEconomist,26187219,138,292229,119322
World News Network,143142203,worldnewsdotcom,22560,5168,138415,938
Crypto Daily™,910120075637686272,cryptodailyuk,67646,1601,16506,168
RealCryptoFace,1341796696867491841,RealCryptoFace1,95297,164,992,402
ARISE News Feed,1087778780,ARISEtv,315383,1346,24746,268
Telegraph World News,19706851,TelegraphWorld,249786,618,89319,2887
Bitstamp,352518189,Bitstamp,480222,140,4749,4076
Republic,811972460560019456,republic,2676978,5,448067,2397
Bitcoin News,3367334171,BTCTN,2312348,921,24849,10327
Forbes Africa,284066524,forbesafrica,245407,177,11193,1205
Thomas Kralow,1252509835154919424,TKralow,1593,122,315,7
Bloomberg Crypto,928759224599040001,crypto,818929,87,8352,11439
Bloomberg,34713362,business,7858684,1372,759908,64632
Markets Insider,65448361,MktsInsider,69048,51,141822,2256
Yahoo Finance UK,21696535,YahooFinanceUK,15650,155,22039,374
imo,106518671,imobbcs,981,277,18923,55
Buzz.ie,4833396790,buzzdotie,15971,467,84743,98
CryptoCompare,2270186526,CryptoCompare,33641,1535,10466,959
Imani,21620436,MoiseNoise,5411,1222,9173,108
Slate,15164565,Slate,1771045,698,527873,30235
David Fox,150599763,gavafox,2896,1323,4296,56
New Scientist,19658826,newscientist,4074500,248,91552,33856
Rand Merchant Bank,259604418,RMBCIB,13826,247,20851,116
Cameron Fous,14297693,Cameronfous,75460,280,20581,871
santi.eth 💧,9321342,santisiri,110375,6732,117362,1912
Bloomberg Markets,69620713,markets,1139419,286,161199,14871
